commit_id,project_id,sprint_id,developer_id,commit_timestamp,lines_added,lines_deleted,files_changed
C0000050,P001,S0001,D0050,2023-12-25 11:59:21.361282,39,22,2
C0000051,P001,S0001,D0006,2023-12-19 01:17:31.810533,34,1,1
C0000052,P001,S0001,D0050,2023-12-23 17:20:31.406195,39,16,1
C0000053,P001,S0001,D0004,2023-12-17 21:44:04.928610,67,38,1
C0000054,P001,S0001,D0042,2023-12-30 13:06:22.560775,9,19,1
C0000055,P001,S0001,D0026,2023-12-17 18:23:43.545876,27,5,3
C0000056,P001,S0001,D0026,2023-12-30 10:11:27.983936,71,2,2
C0000057,P001,S0001,D0042,2023-12-24 04:01:13.755937,38,3,1
C0000058,P001,S0001,D0026,2023-12-24 02:11:45.737030,42,18,1
C0000059,P001,S0001,D0050,2023-12-20 12:36:09.540607,24,49,3
C0000060,P001,S0001,D0019,2023-12-22 05:26:33.875812,42,52,3
C0000061,P001,S0001,D0042,2023-12-27 22:39:16.597851,40,18,4
C0000062,P001,S0001,D0019,2023-12-22 15:24:53.075493,38,1,1
C0000063,P001,S0001,D0030,2023-12-19 18:09:58.661573,15,21,2
C0000064,P001,S0001,D0030,2023-12-25 12:33:22.828959,31,23,2
C0000065,P001,S0001,D0030,2023-12-25 16:08:06.503783,92,2,4
C0000066,P001,S0001,D0006,2023-12-27 08:29:08.343266,44,5,1
C0000067,P001,S0001,D0042,2023-12-17 12:09:42.089049,117,8,10
C0000068,P001,S0001,D0004,2023-12-28 10:03:50.504070,8,64,1
C0000069,P001,S0001,D0004,2023-12-20 07:50:39.896945,40,1,3
C0000070,P001,S0001,D0050,2023-12-28 13:02:58.554776,35,6,5
C0000071,P001,S0001,D0042,2023-12-27 22:43:12.841349,21,8,4
C0000072,P001,S0001,D0050,2023-12-26 06:47:32.291528,23,31,1
C0000073,P001,S0001,D0019,2023-12-19 15:28:54.600056,36,17,1
C0000074,P001,S0001,D0026,2023-12-24 01:57:50.561427,26,12,7
C0000075,P001,S0001,D0026,2023-12-28 11:43:40.890426,20,7,6
C0000076,P001,S0001,D0026,2023-12-19 06:31:03.224467,31,15,5
C0000077,P001,S0001,D0050,2023-12-18 20:25:00.467265,27,82,3
C0000078,P001,S0001,D0042,2023-12-30 04:50:04.709085,29,10,2
C0000079,P001,S0001,D0026,2023-12-21 03:33:00.411270,21,4,1
C0000080,P001,S0001,D0004,2023-12-29 02:33:32.587557,6,11,1
C0000081,P001,S0001,D0050,2023-12-17 18:14:25.147896,27,34,3
C0000082,P001,S0001,D0030,2023-12-27 00:04:04.040340,26,89,4
C0000083,P001,S0001,D0006,2023-12-18 21:00:43.847147,36,10,4
C0000084,P001,S0001,D0026,2023-12-28 05:55:23.226507,111,31,4
C0000085,P001,S0001,D0026,2023-12-22 16:34:56.229831,162,28,4
C0000086,P001,S0001,D0026,2023-12-23 04:28:20.004955,60,55,1
C0000087,P001,S0001,D0050,2023-12-24 12:17:46.368852,19,9,2
C0000088,P001,S0001,D0026,2023-12-22 04:41:20.682309,22,51,1
C0000089,P001,S0001,D0030,2023-12-25 16:45:20.363246,75,21,5
C0000090,P001,S0001,D0004,2023-12-24 18:12:34.247530,16,7,1
C0000091,P001,S0001,D0026,2023-12-27 21:39:39.224800,82,116,1
C0000092,P001,S0001,D0026,2023-12-29 18:30:34.883890,13,1,2
C0000093,P001,S0002,D0004,2024-01-07 20:38:50.999515,23,22,3
C0000094,P001,S0002,D0006,2024-01-07 05:58:06.157350,29,9,2
C0000095,P001,S0002,D0004,2024-01-06 22:30:11.844721,76,28,6
C0000096,P001,S0002,D0006,2024-01-03 18:33:02.702601,74,4,11
C0000097,P001,S0002,D0042,2024-01-06 19:15:50.776713,125,40,1
C0000098,P001,S0002,D0050,2024-01-06 02:57:30.341750,25,0,3
C0000099,P001,S0002,D0042,2024-01-09 01:12:42.394675,11,1,1
C0000100,P001,S0002,D0030,2024-01-07 11:14:54.888458,2,39,2
C0000101,P001,S0002,D0050,2024-01-02 14:12:26.594487,15,19,10
C0000102,P001,S0002,D0050,2024-01-03 07:12:32.662088,119,6,7
C0000103,P001,S0002,D0030,2024-01-02 16:44:32.339614,78,56,1
C0000104,P001,S0002,D0019,2024-01-02 01:15:14.625899,88,27,1
C0000105,P001,S0002,D0030,2024-01-12 12:02:29.542863,26,9,5
C0000106,P001,S0002,D0050,2024-01-03 00:11:45.293136,32,4,3
C0000107,P001,S0002,D0042,2024-01-10 05:20:31.417039,114,11,1
C0000108,P001,S0002,D0050,2024-01-13 00:58:26.305040,95,55,2
C0000109,P001,S0002,D0026,2024-01-11 11:45:03.284527,53,49,3
C0000110,P001,S0002,D0042,2024-01-13 08:29:20.814591,103,11,7
C0000111,P001,S0002,D0050,2024-01-08 12:12:58.323361,56,31,3
C0000112,P001,S0002,D0019,2024-01-09 23:50:18.934214,23,26,4
C0000113,P001,S0002,D0006,2024-01-03 14:33:17.239421,48,8,3
C0000114,P001,S0002,D0026,2024-01-01 02:25:29.201128,16,37,2
C0000115,P001,S0002,D0026,2024-01-11 06:39:09.049064,33,22,1
C0000116,P001,S0002,D0050,2024-01-01 20:30:54.858462,27,20,4
C0000117,P001,S0002,D0042,2024-01-10 03:10:40.548001,9,15,1
C0000118,P001,S0002,D0042,2024-01-01 00:02:19.501219,14,30,3
C0000119,P001,S0002,D0019,2024-01-10 19:39:51.574353,9,65,3
C0000120,P001,S0002,D0030,2024-01-08 20:37:22.252836,23,8,3
C0000121,P001,S0002,D0030,2024-01-06 13:38:36.002647,63,56,1
C0000122,P001,S0002,D0050,2024-01-04 09:22:54.733001,11,4,1
C0000123,P001,S0002,D0026,2024-01-04 12:44:46.239177,31,9,1
C0000124,P001,S0002,D0042,2024-01-04 20:34:48.835221,7,33,1
C0000125,P001,S0002,D0030,2024-01-04 12:12:24.825777,12,31,1
C0000126,P001,S0002,D0042,2024-01-05 10:33:02.697339,42,8,3
C0000127,P001,S0002,D0026,2024-01-06 04:57:41.891113,10,17,6
C0000128,P001,S0002,D0004,2024-01-09 09:52:20.038429,4,44,2
C0000129,P001,S0002,D0030,2024-01-06 01:59:30.744297,32,2,1
C0000130,P001,S0002,D0019,2024-01-11 14:04:53.397836,34,9,1
C0000131,P001,S0002,D0030,2024-01-11 20:40:30.348290,12,8,6
C0000132,P001,S0002,D0019,2024-01-03 17:36:05.538536,33,43,1
C0000133,P001,S0002,D0042,2024-01-08 19:29:38.287306,14,41,1
C0000134,P001,S0002,D0050,2024-01-06 02:09:34.863322,19,14,6
C0000135,P001,S0002,D0030,2024-01-03 13:47:40.966171,31,13,1
C0000136,P001,S0002,D0019,2024-01-12 13:14:20.948048,51,37,7
C0000137,P001,S0002,D0019,2024-01-01 12:14:18.247490,72,28,1
C0000138,P001,S0002,D0030,2024-01-03 17:13:26.519897,52,10,1
C0000139,P001,S0002,D0050,2024-01-06 04:57:27.337502,29,27,2
C0000140,P001,S0002,D0006,2024-01-04 13:44:42.667791,53,36,1
C0000141,P001,S0002,D0026,2024-01-12 11:12:24.954018,70,9,3
C0000142,P001,S0002,D0006,2024-01-04 11:59:48.745032,35,44,5
C0000143,P001,S0002,D0050,2024-01-03 07:07:36.399733,49,9,7
C0000144,P001,S0002,D0004,2024-01-01 14:13:33.988051,51,19,1
C0000145,P001,S0002,D0042,2024-01-05 14:57:30.411257,34,26,1
C0000146,P001,S0002,D0019,2024-01-08 11:23:56.251998,44,11,4
C0000147,P001,S0003,D0004,2024-01-21 00:01:24.958968,65,14,4
C0000148,P001,S0003,D0019,2024-01-19 12:55:43.687754,78,65,3
C0000149,P001,S0003,D0019,2024-01-14 18:37:24.472655,47,11,1
C0000150,P001,S0003,D0006,2024-01-22 22:59:23.616284,63,12,4
C0000151,P001,S0003,D0050,2024-01-21 05:36:53.363123,44,7,1
C0000152,P001,S0003,D0050,2024-01-24 07:45:43.829827,169,51,6
C0000153,P001,S0003,D0050,2024-01-18 11:00:36.102618,77,37,1
C0000154,P001,S0003,D0042,2024-01-26 14:54:20.856067,23,42,1
C0000155,P001,S0003,D0042,2024-01-15 01:44:03.434827,38,7,2
C0000156,P001,S0003,D0050,2024-01-15 10:05:35.058252,55,25,1
C0000157,P001,S0003,D0042,2024-01-24 10:32:12.065978,12,14,3
C0000158,P001,S0003,D0042,2024-01-24 22:52:01.829510,34,32,1
C0000159,P001,S0003,D0026,2024-01-24 03:24:01.171024,61,23,4
C0000160,P001,S0003,D0026,2024-01-22 03:56:54.137283,30,7,1
C0000161,P001,S0003,D0050,2024-01-16 12:58:56.834095,41,19,2
C0000162,P001,S0003,D0050,2024-01-20 02:07:33.062789,7,27,1
C0000163,P001,S0003,D0004,2024-01-21 13:18:30.106903,2,21,1
C0000164,P001,S0003,D0050,2024-01-22 14:39:50.792030,26,12,2
C0000165,P001,S0003,D0019,2024-01-18 13:38:44.855622,32,23,3
C0000166,P001,S0003,D0006,2024-01-22 08:55:05.062551,32,33,1
C0000167,P001,S0003,D0042,2024-01-23 19:33:33.894190,17,93,6
C0000168,P001,S0003,D0019,2024-01-19 14:32:58.185966,130,10,5
C0000169,P001,S0003,D0006,2024-01-17 00:58:03.993163,18,33,1
C0000170,P001,S0003,D0026,2024-01-24 20:34:24.068645,53,2,1
C0000171,P001,S0003,D0019,2024-01-26 18:09:06.921235,54,20,3
C0000172,P001,S0003,D0030,2024-01-21 21:05:51.013615,54,12,9
C0000173,P001,S0003,D0042,2024-01-15 07:30:13.903031,10,42,1
C0000174,P001,S0003,D0042,2024-01-21 15:29:40.641337,38,1,3
C0000175,P001,S0003,D0030,2024-01-22 00:35:54.983090,58,16,1
C0000176,P001,S0003,D0042,2024-01-21 18:05:37.051751,6,12,1
C0000177,P001,S0003,D0006,2024-01-21 08:50:23.604662,56,46,3
C0000178,P001,S0003,D0042,2024-01-20 09:05:14.610834,63,21,1
C0000179,P001,S0003,D0026,2024-01-19 07:13:51.610598,22,29,6
C0000180,P001,S0003,D0042,2024-01-24 12:24:17.281095,18,46,3
C0000181,P001,S0003,D0030,2024-01-16 09:10:03.716061,12,62,5
C0000182,P001,S0003,D0030,2024-01-22 07:59:18.187177,27,16,2
C0000183,P001,S0003,D0042,2024-01-27 14:27:09.488073,13,8,1
C0000184,P001,S0003,D0026,2024-01-21 22:24:45.734696,9,38,2
C0000185,P001,S0003,D0004,2024-01-21 11:32:50.062748,44,15,1
C0000186,P001,S0003,D0019,2024-01-20 17:36:01.080812,20,51,2
C0000187,P001,S0003,D0030,2024-01-19 12:25:01.363851,60,54,9
C0000188,P001,S0003,D0019,2024-01-16 05:50:25.298683,26,28,8
C0000189,P001,S0003,D0006,2024-01-25 00:33:50.635395,17,11,1
C0000190,P001,S0003,D0019,2024-01-21 20:50:32.615736,56,8,4
C0000191,P001,S0003,D0026,2024-01-23 04:17:12.351653,45,2,3
C0000192,P001,S0003,D0030,2024-01-27 03:34:13.478486,36,24,4
C0000193,P001,S0003,D0030,2024-01-23 21:13:59.235681,101,61,3
C0000194,P001,S0003,D0019,2024-01-21 08:05:33.777820,3,21,3
C0000195,P001,S0003,D0042,2024-01-16 16:42:52.557884,106,51,1
C0000196,P001,S0003,D0019,2024-01-26 23:21:03.068080,22,40,3
C0000197,P001,S0003,D0004,2024-01-22 19:22:44.852480,10,13,1
C0000198,P001,S0003,D0050,2024-01-23 10:00:57.773464,23,4,1
C0000199,P001,S0003,D0030,2024-01-18 15:37:22.854258,45,14,1
C0000200,P001,S0003,D0042,2024-01-20 16:59:03.315255,2,17,1
C0000201,P001,S0003,D0042,2024-01-24 07:57:06.584364,33,50,1
C0000202,P001,S0003,D0042,2024-01-14 19:03:35.060344,11,19,4
C0000203,P001,S0003,D0019,2024-01-24 16:52:12.141946,58,23,4
C0000204,P001,S0003,D0004,2024-01-20 02:11:53.793499,81,20,6
C0000205,P001,S0003,D0004,2024-01-22 07:14:43.610460,41,15,4
C0000206,P001,S0003,D0004,2024-01-26 13:12:04.650748,17,29,2
C0000207,P001,S0003,D0030,2024-01-17 19:38:11.118295,38,17,6
C0000208,P001,S0003,D0004,2024-01-19 02:18:57.732066,3,9,1
C0000209,P001,S0003,D0030,2024-01-23 04:02:24.842761,4,14,1
C0000210,P001,S0003,D0004,2024-01-16 04:51:26.748441,48,51,1
C0000211,P001,S0003,D0019,2024-01-18 05:27:15.247629,15,3,2
C0000212,P001,S0003,D0026,2024-01-19 15:35:51.515112,72,42,2
C0000213,P001,S0003,D0030,2024-01-26 07:52:08.304419,21,23,2
C0000214,P001,S0003,D0042,2024-01-17 10:31:44.743079,36,5,2
C0000215,P001,S0003,D0030,2024-01-14 17:37:09.825004,32,4,2
C0000216,P001,S0003,D0019,2024-01-19 21:45:29.887480,52,13,3
C0000217,P001,S0003,D0019,2024-01-21 02:13:05.645592,42,11,4
C0000218,P001,S0003,D0030,2024-01-25 06:23:18.363168,29,16,3
C0000219,P001,S0003,D0030,2024-01-20 16:29:13.369546,37,10,2
C0000220,P001,S0003,D0004,2024-01-19 15:42:09.975441,106,11,2
C0000221,P001,S0003,D0042,2024-01-25 23:14:22.096175,36,1,1
C0000222,P001,S0003,D0019,2024-01-19 23:43:02.786556,53,4,1
C0000223,P001,S0003,D0019,2024-01-26 01:09:42.735865,29,18,6
C0000224,P001,S0003,D0004,2024-01-15 15:33:35.094059,28,7,1
C0000225,P001,S0003,D0006,2024-01-25 15:07:57.881148,41,25,2
C0000226,P001,S0003,D0026,2024-01-27 01:26:58.289814,27,74,4
C0000227,P001,S0003,D0006,2024-01-20 08:16:34.437832,12,39,1
C0000228,P001,S0003,D0026,2024-01-25 19:45:13.946782,35,6,8
C0000229,P001,S0003,D0030,2024-01-22 10:37:54.090249,23,8,4
C0000230,P001,S0003,D0006,2024-01-26 05:49:56.845696,8,23,1
C0000231,P001,S0003,D0030,2024-01-16 20:38:29.798511,75,37,4
C0000232,P001,S0003,D0042,2024-01-16 12:02:25.287711,52,20,3
C0000233,P001,S0003,D0042,2024-01-21 19:03:44.322547,54,21,1
C0000234,P001,S0003,D0019,2024-01-16 09:58:27.986003,17,19,1
C0000235,P001,S0003,D0004,2024-01-17 12:53:10.120555,19,9,6
C0000236,P001,S0003,D0030,2024-01-24 13:44:15.559310,92,3,2
C0000237,P001,S0003,D0026,2024-01-21 12:11:15.791555,26,18,2
C0000238,P001,S0003,D0006,2024-01-26 16:52:56.057557,111,12,1
C0000239,P001,S0003,D0026,2024-01-18 23:16:07.506605,33,10,1
C0000240,P001,S0003,D0006,2024-01-25 17:58:57.251447,47,21,2
C0000241,P001,S0003,D0030,2024-01-23 20:25:30.303276,32,8,3
C0000242,P001,S0003,D0050,2024-01-21 00:17:43.954395,26,53,2
C0000243,P001,S0003,D0006,2024-01-24 20:04:54.771827,97,43,1
C0000244,P001,S0003,D0030,2024-01-24 13:20:17.382963,119,16,1
C0000245,P001,S0003,D0019,2024-01-22 15:37:38.830304,172,29,1
C0000246,P001,S0003,D0004,2024-01-25 01:08:40.214937,19,12,1
C0000247,P001,S0003,D0004,2024-01-20 06:03:50.231403,48,11,5
C0000248,P001,S0003,D0004,2024-01-26 01:07:36.852196,60,13,4
C0000249,P001,S0003,D0042,2024-01-22 12:17:55.352157,34,42,2
C0000250,P001,S0003,D0030,2024-01-15 11:46:45.943473,31,4,3
C0000251,P001,S0003,D0050,2024-01-17 07:48:38.088750,16,3,5
C0000252,P001,S0003,D0004,2024-01-24 00:44:57.383555,82,53,1
C0000253,P001,S0003,D0050,2024-01-22 23:01:58.012543,85,23,11
C0000254,P001,S0003,D0030,2024-01-25 21:34:22.163857,54,18,1
C0000255,P001,S0003,D0026,2024-01-21 03:33:22.183913,49,23,5
C0000256,P001,S0003,D0026,2024-01-24 12:16:10.977379,15,31,2
C0000257,P001,S0003,D0004,2024-01-25 06:13:46.450033,10,10,3
C0000258,P001,S0003,D0006,2024-01-21 20:36:50.706397,50,30,5
C0000259,P001,S0003,D0026,2024-01-25 01:46:44.836877,27,4,6
C0000260,P001,S0003,D0030,2024-01-18 06:46:24.595740,100,14,3
C0000261,P001,S0003,D0026,2024-01-15 17:49:07.184735,60,0,4
C0000262,P001,S0003,D0026,2024-01-19 04:58:57.014515,27,46,1
C0000263,P001,S0003,D0050,2024-01-15 01:38:38.331248,43,4,1
C0000264,P001,S0003,D0026,2024-01-18 09:51:19.401783,145,5,1
C0000265,P001,S0003,D0004,2024-01-22 03:48:14.887323,21,45,1
C0000266,P001,S0003,D0004,2024-01-22 15:06:26.876647,28,11,1
C0000267,P001,S0003,D0019,2024-01-18 00:27:42.896493,38,22,1
C0000268,P001,S0003,D0042,2024-01-14 20:02:53.240266,34,18,3
C0000269,P001,S0003,D0050,2024-01-17 02:25:44.792161,20,29,2
C0000270,P001,S0003,D0006,2024-01-25 06:26:44.422591,169,27,1
C0000271,P001,S0003,D0030,2024-01-16 20:47:42.566907,20,20,7
C0000272,P001,S0003,D0050,2024-01-15 04:33:36.331633,28,12,1
C0000273,P001,S0003,D0026,2024-01-25 11:11:54.969435,43,0,6
C0000274,P001,S0003,D0042,2024-01-24 07:49:20.064041,56,22,11
C0000275,P001,S0003,D0030,2024-01-20 22:03:34.531726,86,22,5
C0000276,P001,S0003,D0019,2024-01-19 19:57:06.703902,86,57,3
C0000277,P001,S0003,D0026,2024-01-25 21:01:41.246609,44,12,4
C0000278,P001,S0003,D0006,2024-01-15 23:29:40.983618,46,2,1
C0000279,P001,S0003,D0006,2024-01-17 20:08:24.022563,25,32,3
C0000280,P001,S0003,D0006,2024-01-25 08:52:30.663091,61,11,1
C0000281,P001,S0003,D0004,2024-01-26 18:50:30.826325,35,12,3
C0000282,P001,S0004,D0006,2024-02-05 23:51:37.345286,66,1,1
C0000283,P001,S0004,D0006,2024-02-01 02:33:14.333531,84,39,5
C0000284,P001,S0004,D0026,2024-02-09 07:31:49.038608,68,26,3
C0000285,P001,S0004,D0019,2024-01-28 15:38:50.123123,72,17,1
C0000286,P001,S0004,D0006,2024-02-03 20:13:53.191995,88,19,3
C0000287,P001,S0004,D0019,2024-02-08 20:59:14.053336,27,13,1
C0000288,P001,S0004,D0026,2024-02-01 23:58:31.481476,17,4,7
C0000289,P001,S0004,D0050,2024-02-09 18:41:21.918705,32,8,1
C0000290,P001,S0004,D0050,2024-02-05 21:23:41.394270,96,19,11
C0000291,P001,S0004,D0006,2024-02-05 07:42:48.393241,52,16,4
C0000292,P001,S0004,D0042,2024-02-03 07:11:35.163817,36,47,3
C0000293,P001,S0004,D0004,2024-01-31 04:53:02.726085,54,4,1
C0000294,P001,S0004,D0042,2024-01-28 16:28:29.476025,79,0,2
C0000295,P001,S0004,D0050,2024-02-05 06:08:55.641499,15,69,1
C0000296,P001,S0004,D0030,2024-02-02 22:24:26.971669,37,6,4
C0000297,P001,S0004,D0006,2024-02-08 21:57:55.851996,18,46,1
C0000298,P001,S0004,D0004,2024-02-04 14:44:29.052247,21,32,3
C0000299,P001,S0004,D0026,2024-02-09 10:35:00.484712,66,9,3
C0000300,P001,S0004,D0050,2024-01-30 09:01:16.812890,24,10,1
C0000301,P001,S0004,D0030,2024-02-09 20:35:10.447960,54,11,6
C0000302,P001,S0004,D0026,2024-02-01 10:08:20.867173,44,4,2
C0000303,P001,S0004,D0030,2024-02-06 10:34:17.689591,114,4,1
C0000304,P001,S0004,D0042,2024-01-30 05:43:24.013564,19,9,2
C0000305,P001,S0004,D0042,2024-02-05 05:36:22.138478,8,29,1
C0000306,P001,S0004,D0030,2024-01-31 19:42:58.663297,65,10,13
C0000307,P001,S0004,D0042,2024-02-01 04:14:59.411773,64,40,2
C0000308,P001,S0004,D0006,2024-02-01 22:49:47.639828,65,3,4
C0000309,P001,S0004,D0042,2024-02-09 10:36:59.845524,24,15,4
C0000310,P001,S0004,D0050,2024-01-29 03:19:43.483892,17,12,1
C0000311,P001,S0004,D0026,2024-02-03 01:31:31.228077,51,53,1
C0000312,P001,S0004,D0006,2024-02-08 13:51:18.394311,49,15,5
C0000313,P001,S0004,D0042,2024-02-01 06:08:36.563915,34,12,2
C0000314,P001,S0004,D0030,2024-02-07 08:03:47.547420,56,4,1
C0000315,P001,S0004,D0006,2024-02-07 07:35:13.809188,19,35,1
C0000316,P001,S0004,D0050,2024-02-07 16:44:25.455742,53,74,2
C0000317,P001,S0004,D0026,2024-02-07 16:05:41.989225,53,5,1
C0000318,P001,S0004,D0030,2024-02-10 06:50:23.045933,29,25,1
C0000319,P001,S0004,D0019,2024-01-29 20:16:58.674371,29,3,13
C0000320,P001,S0004,D0026,2024-02-04 03:50:54.643355,55,5,1
C0000321,P001,S0004,D0006,2024-02-02 16:19:01.419890,32,17,1
C0000322,P001,S0004,D0026,2024-01-30 22:58:41.080928,72,21,2
C0000323,P001,S0004,D0004,2024-01-30 14:22:11.951379,35,5,1
C0000324,P001,S0004,D0026,2024-02-05 10:09:04.568439,20,25,1
C0000325,P001,S0004,D0006,2024-02-08 02:46:19.422777,51,11,1
C0000326,P001,S0004,D0026,2024-02-10 20:31:57.442112,23,23,3
C0000327,P001,S0004,D0019,2024-02-02 13:13:39.692762,22,6,1
C0000328,P001,S0004,D0006,2024-01-29 18:24:07.607584,36,47,2
C0000329,P001,S0004,D0050,2024-01-29 18:37:44.478164,72,4,2
C0000330,P001,S0004,D0006,2024-01-30 02:28:04.680702,21,16,6
C0000331,P001,S0004,D0030,2024-01-30 05:00:13.226885,26,38,4
C0000332,P001,S0004,D0050,2024-01-31 09:00:14.300726,80,51,5
C0000333,P001,S0004,D0019,2024-02-02 22:54:26.395373,35,36,7
C0000334,P001,S0004,D0050,2024-02-07 03:46:31.884752,124,30,3
C0000335,P001,S0004,D0042,2024-01-31 11:08:08.758345,61,20,2
C0000336,P001,S0004,D0006,2024-02-03 16:42:04.296122,37,51,2
C0000337,P001,S0004,D0004,2024-01-30 05:22:09.358891,72,15,3
C0000338,P001,S0004,D0042,2024-02-02 03:41:50.345556,33,2,1
C0000339,P001,S0004,D0006,2024-02-10 01:59:36.012321,45,27,2
C0000340,P001,S0004,D0019,2024-01-29 05:45:31.060224,188,14,1
C0000341,P001,S0004,D0019,2024-01-30 21:17:13.562632,52,18,3
C0000342,P001,S0004,D0006,2024-01-31 10:17:22.665181,39,9,1
C0000343,P001,S0004,D0019,2024-02-04 02:07:04.787217,45,7,2
C0000344,P001,S0004,D0026,2024-02-01 02:48:16.848352,18,19,8
C0000345,P001,S0004,D0006,2024-02-01 07:39:07.836545,31,1,4
C0000346,P001,S0004,D0030,2024-02-02 01:25:22.104473,7,1,2
C0000347,P001,S0004,D0019,2024-02-04 09:13:32.295726,2,4,3
C0000348,P001,S0004,D0026,2024-02-09 16:55:19.298480,79,58,8
C0000349,P001,S0004,D0026,2024-02-01 11:23:37.485519,86,15,1
C0000350,P001,S0004,D0030,2024-02-02 08:34:26.288143,84,12,1
C0000351,P001,S0004,D0004,2024-01-29 21:22:13.312449,84,33,10
C0000352,P001,S0004,D0026,2024-01-28 23:29:48.432357,27,26,1
C0000353,P001,S0004,D0030,2024-02-01 21:09:33.631647,74,16,1
C0000354,P001,S0004,D0030,2024-01-31 11:42:27.430250,18,74,2
C0000355,P001,S0004,D0042,2024-01-31 01:12:01.360977,7,57,7
C0000356,P001,S0005,D0050,2024-02-14 01:37:44.723002,47,42,4
C0000357,P001,S0005,D0004,2024-02-13 00:38:13.437827,18,27,6
C0000358,P001,S0005,D0050,2024-02-15 20:48:17.269411,30,17,9
C0000359,P001,S0005,D0026,2024-02-15 10:27:30.803947,50,41,2
C0000360,P001,S0005,D0030,2024-02-13 11:27:00.937319,98,19,1
C0000361,P001,S0005,D0019,2024-02-20 01:14:39.207478,65,75,8
C0000362,P001,S0005,D0006,2024-02-16 17:25:54.708418,11,1,1
C0000363,P001,S0005,D0019,2024-02-14 13:21:04.949174,15,94,1
C0000364,P001,S0005,D0026,2024-02-20 10:35:16.159974,84,32,1
C0000365,P001,S0005,D0006,2024-02-21 09:57:27.764441,79,11,3
C0000366,P001,S0005,D0019,2024-02-18 19:55:35.509612,111,13,2
