sprint_id,project_id,team_id,sprint_number,sprint_start_date,sprint_end_date,planned_story_points,completed_story_points
S0076,P008,T005,6,2024-03-07,2024-03-20,48,29
S0077,P008,T005,7,2024-03-21,2024-04-03,46,26
S0078,P008,T005,8,2024-04-04,2024-04-17,64,37
S0079,P008,T005,9,2024-04-18,2024-05-01,62,47
S0080,P008,T005,10,2024-05-02,2024-05-15,67,41
S0081,P009,T005,1,2023-12-29,2024-01-11,63,34
S0082,P009,T005,2,2024-01-12,2024-01-25,35,13
S0083,P009,T005,3,2024-01-26,2024-02-08,68,28
S0084,P009,T005,4,2024-02-09,2024-02-22,56,36
S0085,P009,T005,5,2024-02-23,2024-03-07,54,26
S0086,P009,T005,6,2024-03-08,2024-03-21,56,30
S0087,P009,T005,7,2024-03-22,2024-04-04,50,30
S0088,P009,T005,8,2024-04-05,2024-04-18,64,49
S0089,P009,T005,9,2024-04-19,2024-05-02,52,36
S0090,P009,T005,10,2024-05-03,2024-05-16,46,27
S0091,P010,T008,1,2023-11-30,2023-12-13,35,35
S0092,P010,T008,2,2023-12-14,2023-12-27,38,38
S0093,P010,T008,3,2023-12-28,2024-01-10,35,26
S0094,P010,T008,4,2024-01-11,2024-01-24,47,47
S0095,P010,T008,5,2024-01-25,2024-02-07,66,66
S0096,P010,T008,6,2024-02-08,2024-02-21,61,43
S0097,P010,T008,7,2024-02-22,2024-03-06,45,45
S0098,P010,T008,8,2024-03-07,2024-03-20,67,67
S0099,P010,T008,9,2024-03-21,2024-04-03,35,34
S0100,P010,T008,10,2024-04-04,2024-04-17,40,40
S0101,P011,T005,1,2023-11-24,2023-12-07,48,28
S0102,P011,T005,2,2023-12-08,2023-12-21,43,27
S0103,P011,T005,3,2023-12-22,2024-01-04,55,31
S0104,P011,T005,4,2024-01-05,2024-01-18,35,20
S0105,P011,T005,5,2024-01-19,2024-02-01,35,15
S0106,P011,T005,6,2024-02-02,2024-02-15,43,27
S0107,P011,T005,7,2024-02-16,2024-02-29,65,54
S0108,P011,T005,8,2024-03-01,2024-03-14,36,19
S0109,P011,T005,9,2024-03-15,2024-03-28,37,18
S0110,P011,T005,10,2024-03-29,2024-04-11,33,17
S0111,P012,T006,1,2023-11-19,2023-12-02,34,27
S0112,P012,T006,2,2023-12-03,2023-12-16,44,42
S0113,P012,T006,3,2023-12-17,2023-12-30,50,48
S0114,P012,T006,4,2023-12-31,2024-01-13,61,59
S0115,P012,T006,5,2024-01-14,2024-01-27,55,55
S0116,P012,T006,6,2024-01-28,2024-02-10,59,53
S0117,P012,T006,7,2024-02-11,2024-02-24,37,33
S0118,P012,T006,8,2024-02-25,2024-03-09,49,40
S0119,P012,T006,9,2024-03-10,2024-03-23,54,48
S0120,P012,T006,10,2024-03-24,2024-04-06,59,42
