issue_id,project_id,sprint_id,team_id,assignee_id,issue_type,priority,severity,status,created_date,resolved_date,resolution_time_hours,reopened,escaped_defect,cycle_time_days
I000024,P001,S0002,T006,D0050,Sub-task,Low,,Done,2024-01-03 01:36:09.658057,2024-01-07 02:18:09.658057,96.7,0,0,4.029166666666667
I000025,P001,S0002,T006,D0026,Sub-task,High,,Done,2024-01-06 17:52:38.905764,2024-01-06 20:28:38.905764,2.6,0,0,0.10833333333333334
I000026,P001,S0002,T006,D0042,Task,Medium,,Reopened,2024-01-01 11:39:05.031423,2024-01-03 20:39:05.031423,57.0,1,0,2.375
I000027,P001,S0002,T006,D0004,Bug,Low,Major,Done,2024-01-05 21:05:31.191207,2024-01-06 20:59:31.191207,23.9,0,0,0.9958333333333333
I000028,P001,S0002,T006,D0050,Story,Medium,,In Progress,2024-01-08 05:15:59.248191,,,0,0,
I000029,P001,S0002,T006,D0030,Sub-task,Medium,,Done,2024-01-07 05:52:45.390337,2024-01-08 04:40:45.390337,22.8,0,0,0.95
I000030,P001,S0002,T006,D0004,Story,Medium,,Done,2024-01-10 09:31:55.167194,2024-01-12 06:49:55.167194,45.3,0,0,1.8875
I000031,P001,S0002,T006,D0050,Bug,Medium,Major,Done,2023-12-31 20:30:03.943806,2024-01-01 13:36:03.943806,17.1,0,0,0.7125
I000032,P001,S0002,T006,D0004,Bug,Low,Minor,Reopened,2024-01-09 19:00:46.155144,2024-01-13 01:42:46.155144,78.7,1,0,3.279166666666667
I000033,P001,S0002,T006,D0004,Bug,Low,Major,Done,2024-01-08 13:35:03.371553,2024-01-10 14:41:03.371553,49.1,0,0,2.0458333333333334
I000034,P001,S0002,T006,D0042,Story,High,,Reopened,2024-01-10 11:15:29.771336,2024-01-11 21:15:29.771336,34.0,1,0,1.4166666666666667
I000035,P001,S0002,T006,D0026,Bug,Low,Critical,Done,2023-12-31 04:03:23.760487,2024-01-01 20:03:23.760487,40.0,1,0,1.6666666666666667
I000036,P001,S0002,T006,D0050,Story,High,,Done,2024-01-11 20:06:52.880776,2024-01-11 23:30:52.880776,3.4,0,0,0.14166666666666666
I000037,P001,S0002,T006,D0004,Bug,Medium,Minor,Done,2024-01-07 04:14:19.393533,2024-01-09 01:44:19.393533,45.5,0,0,1.8958333333333333
I000038,P001,S0003,T006,D0030,Story,High,,Done,2024-01-24 09:33:17.423480,2024-01-24 20:27:17.423480,10.9,0,0,0.45416666666666666
I000039,P001,S0003,T006,D0030,Story,Low,,Done,2024-01-22 09:15:24.841239,2024-01-23 13:21:24.841239,28.1,0,0,1.1708333333333334
I000040,P001,S0003,T006,D0050,Bug,Low,Minor,Done,2024-01-25 21:15:40.419529,2024-01-27 07:21:40.419529,34.1,0,0,1.4208333333333334
I000041,P001,S0003,T006,D0006,Bug,Low,Minor,Done,2024-01-17 11:08:50.995434,2024-01-17 23:26:50.995434,12.3,0,0,0.5125
I000042,P001,S0003,T006,D0019,Sub-task,Medium,,In Progress,2024-01-18 23:32:21.194930,,,0,0,
I000043,P001,S0003,T006,D0019,Bug,High,Minor,Reopened,2024-01-24 21:10:07.122358,2024-01-25 12:10:07.122358,15.0,1,0,0.625
I000044,P001,S0003,T006,D0019,Sub-task,Medium,,Done,2024-01-26 09:40:30.447121,2024-01-27 05:52:30.447121,20.2,0,0,0.8416666666666667
I000045,P001,S0003,T006,D0006,Story,Low,,Done,2024-01-20 10:51:58.568856,2024-01-20 21:27:58.568856,10.6,0,0,0.44166666666666665
I000046,P001,S0003,T006,D0019,Story,Low,,Done,2024-01-18 13:40:49.908986,2024-01-22 03:10:49.908986,85.5,0,0,3.5625
I000047,P001,S0003,T006,D0019,Task,High,,Done,2024-01-23 00:44:43.076064,2024-01-23 08:50:43.076064,8.1,0,0,0.3375
I000048,P001,S0003,T006,D0050,Bug,High,Blocker,Reopened,2024-01-24 06:29:03.229235,2024-01-24 23:47:03.229235,17.3,1,0,0.7208333333333333
I000049,P001,S0003,T006,D0004,Task,Medium,,Done,2024-01-22 23:59:25.037266,2024-01-25 23:11:25.037266,71.2,0,0,2.966666666666667
I000050,P001,S0003,T006,D0006,Story,Medium,,Won't Fix,2024-01-14 16:05:52.410039,2024-01-15 08:23:52.410039,16.3,0,0,0.6791666666666667
I000051,P001,S0003,T006,D0006,Story,High,,Done,2024-01-14 10:35:28.123148,2024-01-15 02:41:28.123148,16.1,0,0,0.6708333333333333
I000052,P001,S0003,T006,D0042,Story,High,,In Progress,2024-01-23 16:27:36.500449,,,0,0,
I000053,P001,S0003,T006,D0006,Story,Low,,In Progress,2024-01-15 13:37:00.726105,,,0,0,
I000054,P001,S0003,T006,D0030,Task,Low,,In Progress,2024-01-18 02:22:14.107451,,,0,0,
I000055,P001,S0003,T006,D0050,Story,Low,,Done,2024-01-14 07:36:46.957844,2024-01-15 17:42:46.957844,34.1,0,0,1.4208333333333334
I000056,P001,S0003,T006,D0026,Bug,Medium,Critical,Done,2024-01-14 21:50:57.365496,2024-01-18 23:44:57.365496,97.9,0,0,4.079166666666667
I000057,P001,S0003,T006,D0026,Task,Low,,Done,2024-01-15 10:28:04.523869,2024-01-16 03:22:04.523869,16.9,0,0,0.7041666666666667
I000058,P001,S0003,T006,D0030,Task,Medium,,Reopened,2024-01-17 14:30:24.773247,2024-01-18 07:48:24.773247,17.3,1,0,0.7208333333333333
I000059,P001,S0003,T006,D0019,Task,Low,,Reopened,2024-01-19 10:17:06.727362,2024-01-19 23:47:06.727362,13.5,1,0,0.5625
I000060,P001,S0003,T006,D0019,Sub-task,Critical,,Done,2024-01-23 15:55:33.890674,2024-01-24 00:19:33.890674,8.4,0,0,0.35
I000061,P001,S0003,T006,D0019,Story,Low,,Done,2024-01-16 07:04:36.285549,2024-01-16 23:52:36.285549,16.8,0,0,0.7
I000062,P001,S0003,T006,D0019,Task,High,,Done,2024-01-22 04:29:26.563109,2024-01-22 20:17:26.563109,15.8,0,0,0.6583333333333333
I000063,P001,S0003,T006,D0042,Story,High,,In Progress,2024-01-23 01:09:30.358198,,,0,0,
I000064,P001,S0003,T006,D0019,Story,High,,Done,2024-01-14 10:52:40.547975,2024-01-14 11:58:40.547975,1.1,0,0,0.04583333333333333
I000065,P001,S0003,T006,D0019,Sub-task,High,,Done,2024-01-24 12:34:08.455131,2024-01-24 19:22:08.455131,6.8,0,0,0.2833333333333333
I000066,P001,S0003,T006,D0006,Bug,Low,Minor,Done,2024-01-23 01:03:46.293729,2024-01-24 07:33:46.293729,30.5,0,0,1.2708333333333333
I000067,P001,S0003,T006,D0006,Story,Medium,,Done,2024-01-21 16:49:52.423730,2024-01-22 05:07:52.423730,12.3,0,0,0.5125
I000068,P001,S0003,T006,D0004,Story,High,,Done,2024-01-23 12:58:47.620969,2024-01-24 20:10:47.620969,31.2,0,0,1.3
I000069,P001,S0003,T006,D0004,Bug,Low,Critical,Done,2024-01-15 09:01:12.854188,2024-01-16 15:55:12.854188,30.9,0,0,1.2875
I000070,P001,S0004,T006,D0030,Task,Low,,In Progress,2024-02-01 08:33:25.497104,,,0,0,
I000071,P001,S0004,T006,D0030,Bug,Low,Minor,Done,2024-02-01 05:50:50.193128,2024-02-03 00:02:50.193128,42.2,0,1,1.7583333333333333
I000072,P001,S0004,T006,D0042,Task,Low,,In Progress,2024-02-06 21:26:26.540090,,,0,0,
I000073,P001,S0004,T006,D0004,Task,High,,Reopened,2024-01-30 06:12:39.903465,2024-01-30 21:30:39.903465,15.3,1,0,0.6375
I000074,P001,S0004,T006,D0026,Task,High,,Done,2024-02-03 03:45:18.191490,2024-02-03 12:45:18.191490,9.0,0,0,0.375
I000075,P001,S0004,T006,D0030,Bug,Low,Minor,In Progress,2024-02-03 08:27:24.031463,,,0,0,
I000076,P001,S0004,T006,D0050,Sub-task,Low,,In Progress,2024-02-08 02:30:48.418675,,,0,0,
I000077,P001,S0004,T006,D0026,Task,Medium,,Done,2024-01-31 13:15:25.100724,2024-02-01 12:03:25.100724,22.8,0,0,0.95
I000078,P001,S0004,T006,D0006,Task,High,,In Progress,2024-02-08 03:29:46.855438,,,0,0,
I000079,P001,S0004,T006,D0004,Bug,Low,Major,Done,2024-02-01 18:58:48.789271,2024-02-02 13:16:48.789271,18.3,0,0,0.7625
I000080,P001,S0004,T006,D0050,Bug,Low,Major,Done,2024-02-03 21:28:14.055036,2024-02-05 16:10:14.055036,42.7,0,1,1.7791666666666666
I000081,P001,S0004,T006,D0019,Bug,Medium,Minor,Done,2024-01-30 14:33:49.373030,2024-01-31 07:39:49.373030,17.1,0,0,0.7125
I000082,P001,S0004,T006,D0019,Sub-task,Low,,In Progress,2024-02-03 00:57:17.143741,,,0,0,
I000083,P001,S0004,T006,D0004,Task,High,,Done,2024-02-07 03:18:48.630725,2024-02-08 21:12:48.630725,41.9,0,0,1.7458333333333333
I000084,P001,S0004,T006,D0004,Bug,Critical,Minor,Done,2024-02-03 11:39:11.173957,2024-02-04 12:57:11.173957,25.3,0,0,1.0541666666666667
I000085,P001,S0005,T006,D0006,Bug,High,Minor,Done,2024-02-15 04:29:36.769533,2024-02-16 07:35:36.769533,27.1,0,0,1.1291666666666667
I000086,P001,S0005,T006,D0042,Bug,Low,Major,Reopened,2024-02-20 04:25:13.535990,2024-02-21 11:13:13.535990,30.8,1,0,1.2833333333333334
I000087,P001,S0005,T006,D0042,Task,Medium,,Done,2024-02-17 07:07:56.336315,2024-02-17 19:13:56.336315,12.1,0,0,0.5041666666666667
I000088,P001,S0005,T006,D0050,Task,Medium,,Done,2024-02-19 08:47:46.467245,2024-02-22 00:35:46.467245,63.8,0,0,2.658333333333333
I000089,P001,S0005,T006,D0030,Task,Medium,,Done,2024-02-19 00:06:41.439046,2024-02-20 00:30:41.439046,24.4,0,0,1.0166666666666666
I000090,P001,S0005,T006,D0006,Bug,High,Major,Won't Fix,2024-02-17 11:26:13.428720,2024-02-19 07:50:13.428720,44.4,0,0,1.85
I000091,P001,S0005,T006,D0004,Story,Low,,In Progress,2024-02-16 10:32:26.642632,,,0,0,
I000092,P001,S0005,T006,D0006,Task,High,,Won't Fix,2024-02-20 15:43:27.964612,2024-02-20 17:49:27.964612,2.1,0,0,0.0875
I000093,P001,S0005,T006,D0006,Task,Medium,,Done,2024-02-16 16:50:52.838834,2024-02-17 02:20:52.838834,9.5,0,0,0.3958333333333333
I000094,P001,S0005,T006,D0004,Story,High,,In Progress,2024-02-19 12:21:46.489376,,,0,0,
I000095,P001,S0005,T006,D0030,Bug,High,Critical,Won't Fix,2024-02-13 08:03:40.067883,2024-02-13 11:15:40.067883,3.2,0,0,0.13333333333333333
I000096,P001,S0005,T006,D0004,Story,Low,,Done,2024-02-16 06:21:59.361527,2024-02-19 14:45:59.361527,80.4,0,0,3.35
I000097,P001,S0005,T006,D0026,Story,Critical,,Done,2024-02-14 08:32:15.471610,2024-02-15 14:20:15.471610,29.8,0,0,1.2416666666666667
I000098,P001,S0005,T006,D0042,Bug,Critical,Major,Done,2024-02-14 01:38:51.880431,2024-02-14 13:02:51.880431,11.4,0,0,0.475
I000099,P001,S0005,T006,D0030,Bug,Low,Major,Done,2024-02-19 15:06:25.245425,2024-02-22 09:42:25.245425,66.6,0,0,2.775
I000100,P001,S0005,T006,D0019,Bug,Critical,Minor,In Progress,2024-02-14 00:06:46.240839,,,0,0,
I000101,P001,S0005,T006,D0026,Bug,Medium,Minor,Done,2024-02-12 22:16:59.083321,2024-02-14 13:58:59.083321,39.7,0,0,1.6541666666666666
I000102,P001,S0005,T006,D0030,Bug,Low,Minor,Done,2024-02-23 05:13:25.590292,2024-02-24 19:13:25.590292,38.0,0,0,1.5833333333333333
I000103,P001,S0005,T006,D0006,Story,High,,In Progress,2024-02-13 07:16:14.643507,,,0,0,
I000104,P001,S0005,T006,D0050,Bug,High,Critical,In Progress,2024-02-20 23:46:40.950233,,,0,0,
I000105,P001,S0005,T006,D0004,Task,Medium,,Done,2024-02-19 11:11:04.879813,2024-02-20 13:29:04.879813,26.3,0,0,1.0958333333333334
I000106,P001,S0005,T006,D0019,Task,Critical,,Done,2024-02-20 18:45:26.862970,2024-02-20 23:39:26.862970,4.9,0,0,0.20416666666666666
I000107,P001,S0005,T006,D0019,Task,Medium,,In Progress,2024-02-15 06:02:03.647068,,,0,0,
I000108,P001,S0005,T006,D0004,Task,Medium,,Done,2024-02-14 20:37:23.569186,2024-02-16 04:19:23.569186,31.7,0,0,1.3208333333333333
I000109,P001,S0005,T006,D0026,Story,Medium,,Done,2024-02-20 00:59:08.766554,2024-02-20 09:35:08.766554,8.6,0,0,0.35833333333333334
I000110,P001,S0005,T006,D0006,Bug,Medium,Minor,Done,2024-02-19 08:29:01.328321,2024-02-19 10:17:01.328321,1.8,0,0,0.075
I000111,P001,S0005,T006,D0050,Story,Low,,Done,2024-02-15 10:28:09.559990,2024-02-15 18:16:09.559990,7.8,0,0,0.325
I000112,P001,S0005,T006,D0030,Story,Medium,,Done,2024-02-20 17:01:30.804364,2024-02-20 21:01:30.804364,4.0,0,0,0.16666666666666666
I000113,P001,S0005,T006,D0006,Bug,Low,Major,Reopened,2024-02-22 16:11:07.912581,2024-02-23 23:59:07.912581,31.8,1,0,1.325
I000114,P001,S0005,T006,D0042,Bug,Medium,Major,Done,2024-02-19 17:04:11.866075,2024-02-20 13:04:11.866075,20.0,0,0,0.8333333333333334
I000115,P001,S0005,T006,D0030,Task,Low,,Done,2024-02-16 09:01:38.350833,2024-02-17 11:25:38.350833,26.4,0,0,1.1
I000116,P001,S0005,T006,D0026,Bug,Low,Critical,Done,2024-02-13 09:47:28.591162,2024-02-14 11:41:28.591162,25.9,0,0,1.0791666666666666
I000117,P001,S0006,T006,D0006,Story,Critical,,Done,2024-03-03 19:42:10.396388,2024-03-04 05:30:10.396388,9.8,0,0,0.4083333333333333
I000118,P001,S0006,T006,D0026,Bug,Medium,Critical,Done,2024-03-06 00:13:21.887323,2024-03-06 21:55:21.887323,21.7,0,0,0.9041666666666667
I000119,P001,S0006,T006,D0019,Story,Medium,,Done,2024-02-26 05:48:25.264499,2024-02-26 15:54:25.264499,10.1,0,0,0.42083333333333334
I000120,P001,S0006,T006,D0019,Task,Medium,,Done,2024-03-02 23:01:54.219990,2024-03-06 05:49:54.219990,78.8,0,0,3.283333333333333
I000121,P001,S0006,T006,D0019,Story,Medium,,Won't Fix,2024-02-28 00:22:02.978357,2024-03-01 07:10:02.978357,54.8,0,0,2.283333333333333
I000122,P001,S0006,T006,D0019,Story,Medium,,In Progress,2024-03-01 18:07:39.697087,,,0,0,
I000123,P001,S0006,T006,D0030,Sub-task,Low,,Done,2024-02-26 08:28:55.958188,2024-02-28 04:52:55.958188,44.4,0,0,1.85
I000124,P001,S0006,T006,D0026,Task,Low,,Done,2024-02-29 04:53:30.938568,2024-03-03 17:11:30.938568,84.3,0,0,3.5125
I000125,P001,S0006,T006,D0019,Story,High,,Done,2024-03-04 16:54:57.658442,2024-03-05 09:54:57.658442,17.0,0,0,0.7083333333333334
I000126,P001,S0006,T006,D0006,Story,Low,,Won't Fix,2024-02-29 07:53:47.748747,2024-03-01 01:35:47.748747,17.7,0,0,0.7375
I000127,P001,S0006,T006,D0030,Story,Critical,,Won't Fix,2024-03-01 19:15:42.960865,2024-03-02 12:33:42.960865,17.3,0,0,0.7208333333333333
I000128,P001,S0006,T006,D0026,Task,Low,,Done,2024-03-02 23:10:41.655200,2024-03-03 03:40:41.655200,4.5,0,0,0.1875
I000129,P001,S0006,T006,D0004,Bug,Medium,Critical,Won't Fix,2024-03-08 01:16:46.126839,2024-03-08 14:46:46.126839,13.5,0,0,0.5625
I000130,P001,S0006,T006,D0030,Task,Low,,Reopened,2024-02-28 08:11:55.489657,2024-02-28 15:47:55.489657,7.6,1,0,0.31666666666666665
I000131,P001,S0006,T006,D0004,Task,High,,Reopened,2024-03-05 05:07:42.044505,2024-03-05 12:31:42.044505,7.4,1,0,0.30833333333333335
I000132,P001,S0007,T006,D0042,Task,Low,,Done,2024-03-22 06:01:29.099856,2024-03-22 14:19:29.099856,8.3,0,0,0.3458333333333333
I000133,P001,S0007,T006,D0042,Story,Critical,,Reopened,2024-03-21 01:38:40.512539,2024-03-21 11:44:40.512539,10.1,1,0,0.42083333333333334
I000134,P001,S0007,T006,D0019,Task,Low,,Done,2024-03-12 18:08:18.733781,2024-03-13 21:20:18.733781,27.2,0,0,1.1333333333333333
I000135,P001,S0007,T006,D0042,Bug,Medium,Minor,Reopened,2024-03-22 16:23:25.377606,2024-03-24 12:29:25.377606,44.1,1,0,1.8375
I000136,P001,S0007,T006,D0030,Bug,High,Critical,In Progress,2024-03-14 03:04:11.322255,,,0,0,
I000137,P001,S0007,T006,D0042,Bug,Low,Blocker,Done,2024-03-17 03:27:11.574717,2024-03-18 07:15:11.574717,27.8,0,0,1.1583333333333334
I000138,P001,S0007,T006,D0042,Bug,Low,Major,Done,2024-03-14 17:49:01.359743,2024-03-16 11:43:01.359743,41.9,0,0,1.7458333333333333
I000139,P001,S0007,T006,D0026,Sub-task,Low,,Done,2024-03-19 00:51:03.569054,2024-03-19 18:21:03.569054,17.5,0,0,0.7291666666666666
I000140,P001,S0007,T006,D0026,Story,Low,,Done,2024-03-13 00:35:07.468914,2024-03-13 23:35:07.468914,23.0,0,0,0.9583333333333334
I000141,P001,S0007,T006,D0026,Story,Medium,,Done,2024-03-11 16:46:53.895155,2024-03-12 11:46:53.895155,19.0,0,0,0.7916666666666666
I000142,P001,S0007,T006,D0042,Story,Low,,Done,2024-03-15 00:46:06.863609,2024-03-17 10:58:06.863609,58.2,0,0,2.425
I000143,P001,S0007,T006,D0030,Story,Low,,Done,2024-03-13 09:03:42.196062,2024-03-14 03:39:42.196062,18.6,0,0,0.775
I000144,P001,S0007,T006,D0004,Task,Medium,,Done,2024-03-12 14:02:35.371197,2024-03-13 18:02:35.371197,28.0,0,0,1.1666666666666667
I000145,P001,S0007,T006,D0004,Bug,Medium,Major,Done,2024-03-20 23:26:21.875333,2024-03-21 20:02:21.875333,20.6,0,0,0.8583333333333333
I000146,P001,S0007,T006,D0004,Story,High,,Done,2024-03-15 02:25:36.628021,2024-03-15 08:49:36.628021,6.4,0,0,0.26666666666666666
I000147,P001,S0007,T006,D0030,Task,Critical,,Done,2024-03-20 12:22:17.904110,2024-03-20 20:28:17.904110,8.1,0,0,0.3375
I000148,P001,S0007,T006,D0004,Task,Medium,,Done,2024-03-15 00:32:27.095542,2024-03-15 15:56:27.095542,15.4,0,0,0.6416666666666667
I000149,P001,S0007,T006,D0019,Bug,Medium,Minor,Done,2024-03-19 14:04:45.609028,2024-03-22 15:46:45.609028,73.7,0,0,3.0708333333333333
I000150,P001,S0007,T006,D0026,Bug,Critical,Major,Done,2024-03-14 14:12:51.982030,2024-03-15 00:42:51.982030,10.5,0,0,0.4375
I000151,P001,S0007,T006,D0004,Story,Medium,,Reopened,2024-03-17 03:28:48.740305,2024-03-17 13:58:48.740305,10.5,1,0,0.4375
I000152,P001,S0007,T006,D0004,Sub-task,Medium,,Done,2024-03-10 03:15:12.391963,2024-03-10 21:57:12.391963,18.7,0,0,0.7791666666666667
I000153,P001,S0007,T006,D0026,Story,Medium,,In Progress,2024-03-10 13:05:19.614158,,,0,0,
I000154,P001,S0007,T006,D0006,Bug,Low,Minor,Done,2024-03-17 18:44:30.665809,2024-03-21 15:08:30.665809,92.4,0,0,3.85
I000155,P001,S0007,T006,D0042,Sub-task,Low,,Done,2024-03-11 13:54:30.345861,2024-03-13 00:24:30.345861,34.5,0,0,1.4375
I000156,P001,S0007,T006,D0030,Task,High,,In Progress,2024-03-21 22:42:18.282584,,,0,0,
I000157,P001,S0008,T006,D0026,Task,Medium,,Done,2024-03-26 08:20:43.852670,2024-03-27 03:02:43.852670,18.7,0,0,0.7791666666666667
I000158,P001,S0008,T006,D0030,Bug,Low,Minor,Done,2024-04-02 10:30:20.634895,2024-04-03 08:24:20.634895,21.9,0,0,0.9125
I000159,P001,S0008,T006,D0026,Story,High,,Done,2024-04-02 15:56:53.596521,2024-04-02 22:50:53.596521,6.9,0,0,0.2875
I000160,P001,S0008,T006,D0004,Story,High,,Done,2024-03-26 01:56:32.460381,2024-03-26 19:38:32.460381,17.7,0,0,0.7375
I000161,P001,S0008,T006,D0030,Task,High,,Done,2024-03-27 14:42:19.635630,2024-03-28 08:24:19.635630,17.7,0,0,0.7375
I000162,P001,S0008,T006,D0026,Task,Medium,,In Progress,2024-03-26 10:39:49.381920,,,0,0,
I000163,P001,S0008,T006,D0050,Story,High,,In Progress,2024-04-03 22:04:07.542653,,,0,0,
I000164,P001,S0008,T006,D0030,Bug,High,Blocker,In Progress,2024-03-28 18:54:45.264665,,,0,0,
I000165,P001,S0008,T006,D0030,Task,Low,,Reopened,2024-03-26 07:39:08.086694,2024-03-27 04:33:08.086694,20.9,1,0,0.8708333333333333
I000166,P001,S0008,T006,D0042,Story,Low,,Done,2024-03-31 12:57:17.790039,2024-03-31 22:51:17.790039,9.9,0,0,0.4125
I000167,P001,S0008,T006,D0006,Story,Medium,,In Progress,2024-03-31 19:52:09.987400,,,0,0,
I000168,P001,S0008,T006,D0050,Task,High,,Done,2024-03-30 17:23:16.604195,2024-03-31 12:53:16.604195,19.5,0,0,0.8125
I000169,P001,S0008,T006,D0042,Task,Low,,Done,2024-03-28 19:53:01.192504,2024-03-30 22:41:01.192504,50.8,0,0,2.1166666666666667
I000170,P001,S0008,T006,D0019,Story,High,,In Progress,2024-03-25 12:55:15.209645,,,0,0,
I000171,P001,S0008,T006,D0042,Task,Critical,,In Progress,2024-03-26 15:18:58.128060,,,0,0,
I000172,P001,S0008,T006,D0006,Task,Low,,Reopened,2024-03-30 17:38:26.070239,2024-04-01 00:08:26.070239,30.5,1,0,1.2708333333333333
I000173,P001,S0008,T006,D0026,Task,Low,,Reopened,2024-03-28 21:35:49.989832,2024-03-29 05:17:49.989832,7.7,1,0,0.32083333333333336
I000174,P001,S0008,T006,D0004,Bug,Low,Major,Done,2024-03-30 10:53:45.166325,2024-04-01 17:53:45.166325,55.0,0,0,2.2916666666666665
I000175,P001,S0008,T006,D0019,Sub-task,Low,,Done,2024-03-24 17:48:03.862797,2024-03-26 20:42:03.862797,50.9,0,0,2.120833333333333
I000176,P001,S0008,T006,D0006,Bug,High,Blocker,Done,2024-03-28 19:48:59.807857,2024-03-30 04:06:59.807857,32.3,0,1,1.3458333333333334
I000177,P001,S0008,T006,D0050,Sub-task,Low,,Done,2024-03-30 22:06:54.910332,2024-03-31 22:24:54.910332,24.3,0,0,1.0125
I000178,P001,S0008,T006,D0030,Bug,High,Major,In Progress,2024-03-25 15:55:56.355825,,,0,0,
I000179,P001,S0008,T006,D0004,Bug,Medium,Minor,Won't Fix,2024-03-31 08:22:58.941935,2024-04-02 00:22:58.941935,40.0,0,0,1.6666666666666667
I000180,P001,S0008,T006,D0050,Bug,High,Minor,Done,2024-03-25 03:43:05.363282,2024-03-26 00:25:05.363282,20.7,0,0,0.8625
I000181,P001,S0008,T006,D0030,Task,Medium,,Done,2024-03-25 01:29:53.908343,2024-03-27 23:35:53.908343,70.1,0,0,2.9208333333333334
I000182,P001,S0008,T006,D0019,Bug,Medium,Minor,Done,2024-03-25 06:26:22.211501,2024-03-26 01:32:22.211501,19.1,0,0,0.7958333333333333
I000183,P001,S0008,T006,D0026,Story,Low,,Done,2024-04-03 05:19:07.673548,2024-04-05 20:19:07.673548,63.0,0,0,2.625
I000184,P001,S0008,T006,D0006,Story,High,,Reopened,2024-04-02 19:16:53.746531,2024-04-03 01:28:53.746531,6.2,1,0,0.25833333333333336
I000185,P001,S0008,T006,D0026,Task,Medium,,Done,2024-03-31 04:23:03.292124,2024-04-01 09:47:03.292124,29.4,0,0,1.225
I000186,P001,S0008,T006,D0019,Story,Medium,,In Progress,2024-03-25 08:54:28.059791,,,0,0,
I000187,P001,S0008,T006,D0050,Bug,Low,Minor,Done,2024-03-28 15:16:52.838156,2024-03-30 09:46:52.838156,42.5,0,0,1.7708333333333333
I000188,P001,S0008,T006,D0019,Sub-task,Medium,,In Progress,2024-03-26 01:16:54.857009,,,0,0,
