pull_request_id,project_id,sprint_id,author_id,reviewer_id,opened_date,closed_date,review_time_hours,pr_size_lines,status,is_merged
PR000043,P001,S0002,D0019,D0042,2024-01-03 10:33:33.560894,2024-01-03 17:27:33.560894,6.9,113,Merged,1
PR000044,P001,S0002,D0004,D0006,2024-01-11 05:42:25.146147,2024-01-11 06:42:25.146147,1.0,141,Merged,1
PR000045,P001,S0002,D0006,D0019,2024-01-11 08:01:46.211000,2024-01-11 12:19:46.211000,4.3,61,Merged,1
PR000046,P001,S0002,D0050,D0004,2024-01-03 17:15:38.164920,2024-01-03 23:21:38.164920,6.1,48,Merged,1
PR000047,P001,S0002,D0042,D0004,2024-01-06 16:41:56.395293,2024-01-08 05:05:56.395293,36.4,211,Merged,1
PR000048,P001,S0002,D0050,D0019,2024-01-08 19:47:07.082978,2024-01-10 05:35:07.082978,33.8,155,Closed,0
PR000049,P001,S0002,D0019,D0050,2024-01-02 09:06:58.843438,2024-01-02 18:00:58.843438,8.9,10,Merged,1
PR000050,P001,S0003,D0030,D0019,2024-01-18 11:12:32.620298,2024-01-19 01:36:32.620298,14.4,119,Merged,1
PR000051,P001,S0003,D0030,D0004,2024-01-25 11:11:28.488358,2024-01-26 14:17:28.488358,27.1,98,Merged,1
PR000052,P001,S0003,D0042,D0004,2024-01-24 08:42:16.560716,2024-01-25 03:54:16.560716,19.2,168,Merged,1
PR000053,P001,S0003,D0019,D0042,2024-01-14 06:18:51.327560,2024-01-14 15:18:51.327560,9.0,32,Closed,0
PR000054,P001,S0003,D0030,D0006,2024-01-19 20:11:39.693316,2024-01-20 15:35:39.693316,19.4,91,Merged,1
PR000055,P001,S0003,D0050,D0030,2024-01-23 11:22:16.946399,2024-01-23 19:04:16.946399,7.7,91,Closed,0
PR000056,P001,S0003,D0019,D0050,2024-01-24 13:08:38.244077,2024-01-25 00:26:38.244077,11.3,99,Merged,1
PR000057,P001,S0003,D0004,D0006,2024-01-14 17:51:50.393370,2024-01-15 01:27:50.393370,7.6,28,Merged,1
PR000058,P001,S0003,D0019,D0026,2024-01-16 07:04:24.769848,2024-01-16 10:58:24.769848,3.9,58,Merged,1
PR000059,P001,S0003,D0006,D0004,2024-01-20 12:45:24.778647,2024-01-21 20:57:24.778647,32.2,273,Merged,1
PR000060,P001,S0003,D0042,D0030,2024-01-16 12:27:34.362953,2024-01-16 18:39:34.362953,6.2,73,Closed,0
PR000061,P001,S0003,D0026,D0042,2024-01-15 20:12:05.422809,2024-01-16 10:54:05.422809,14.7,66,Merged,1
PR000062,P001,S0003,D0026,D0019,2024-01-17 08:25:09.119706,,,88,Open,0
PR000063,P001,S0003,D0006,D0004,2024-01-16 08:46:30.578960,2024-01-16 13:10:30.578960,4.4,107,Merged,1
PR000064,P001,S0003,D0050,D0026,2024-01-16 00:58:18.480974,2024-01-16 02:52:18.480974,1.9,36,Merged,1
PR000065,P001,S0003,D0026,D0004,2024-01-22 06:07:13.674015,2024-01-23 02:31:13.674015,20.4,43,Merged,1
PR000066,P001,S0003,D0019,D0026,2024-01-14 00:12:31.382060,2024-01-14 08:48:31.382060,8.6,6,Merged,1
PR000067,P001,S0003,D0006,D0030,2024-01-17 12:03:01.232683,2024-01-17 16:33:01.232683,4.5,77,Merged,1
PR000068,P001,S0004,D0050,D0026,2024-01-31 10:21:32.456444,2024-02-01 17:21:32.456444,31.0,184,Merged,1
PR000069,P001,S0004,D0050,D0019,2024-01-28 14:31:38.622388,2024-01-29 10:01:38.622388,19.5,39,Merged,1
PR000070,P001,S0004,D0019,D0050,2024-02-06 02:11:48.930083,2024-02-06 13:47:48.930083,11.6,77,Merged,1
PR000071,P001,S0004,D0030,D0026,2024-01-28 13:16:48.312580,2024-01-29 02:10:48.312580,12.9,101,Merged,1
PR000072,P001,S0004,D0030,D0019,2024-02-07 18:28:25.414603,2024-02-08 10:16:25.414603,15.8,144,Merged,1
PR000073,P001,S0004,D0042,D0050,2024-02-05 18:27:00.245821,,,87,Open,0
PR000074,P001,S0004,D0006,D0004,2024-02-07 19:14:51.750418,2024-02-08 01:14:51.750418,6.0,164,Merged,1
PR000075,P001,S0004,D0006,D0004,2024-02-06 02:07:32.395019,2024-02-06 05:43:32.395019,3.6,131,Merged,1
PR000076,P001,S0004,D0050,D0030,2024-02-06 13:11:56.198894,2024-02-07 00:41:56.198894,11.5,232,Merged,1
PR000077,P001,S0004,D0004,D0030,2024-02-04 07:42:15.986991,2024-02-05 02:42:15.986991,19.0,57,Merged,1
PR000078,P001,S0004,D0050,D0030,2024-01-30 15:49:47.481339,2024-01-30 22:13:47.481339,6.4,105,Merged,1
PR000079,P001,S0004,D0004,D0026,2024-01-28 14:38:51.473110,2024-01-28 23:14:51.473110,8.6,216,Merged,1
PR000080,P001,S0004,D0026,D0019,2024-02-08 14:19:21.214465,2024-02-09 18:19:21.214465,28.0,220,Merged,1
PR000081,P001,S0004,D0030,D0004,2024-01-31 19:06:32.742426,2024-02-01 03:36:32.742426,8.5,151,Merged,1
PR000082,P001,S0004,D0026,D0030,2024-02-07 19:14:10.899638,2024-02-08 05:50:10.899638,10.6,74,Merged,1
PR000083,P001,S0004,D0030,D0042,2024-01-31 18:41:04.930398,2024-02-01 09:05:04.930398,14.4,100,Merged,1
PR000084,P001,S0004,D0004,D0030,2024-02-02 19:57:41.901393,2024-02-03 03:57:41.901393,8.0,62,Closed,0
PR000085,P001,S0004,D0042,D0050,2024-02-07 20:10:40.832097,2024-02-08 08:28:40.832097,12.3,105,Merged,1
PR000086,P001,S0004,D0030,D0050,2024-02-02 07:02:20.968967,2024-02-03 12:50:20.968967,29.8,30,Merged,1
PR000087,P001,S0004,D0006,D0026,2024-02-07 21:55:55.256675,2024-02-08 09:37:55.256675,11.7,164,Merged,1
PR000088,P001,S0004,D0042,D0026,2024-01-29 14:35:43.224381,2024-01-30 01:41:43.224381,11.1,296,Merged,1
PR000089,P001,S0004,D0026,D0006,2024-01-28 14:48:04.436111,2024-01-28 23:42:04.436111,8.9,56,Merged,1
PR000090,P001,S0004,D0042,D0019,2024-02-05 13:32:33.549452,2024-02-05 18:50:33.549452,5.3,133,Merged,1
PR000091,P001,S0004,D0042,D0026,2024-01-30 06:31:56.551827,2024-01-30 13:43:56.551827,7.2,249,Merged,1
PR000092,P001,S0004,D0050,D0006,2024-01-31 21:06:52.142181,2024-02-01 09:36:52.142181,12.5,80,Merged,1
PR000093,P001,S0005,D0050,D0026,2024-02-13 03:26:23.079957,2024-02-13 20:32:23.079957,17.1,76,Closed,0
PR000094,P001,S0005,D0026,D0042,2024-02-20 10:42:44.020826,2024-02-21 09:36:44.020826,22.9,130,Merged,1
PR000095,P001,S0005,D0006,D0019,2024-02-21 11:23:07.377796,2024-02-21 17:05:07.377796,5.7,134,Merged,1
PR000096,P001,S0005,D0004,D0019,2024-02-15 08:40:27.481972,2024-02-15 16:40:27.481972,8.0,72,Merged,1
PR000097,P001,S0005,D0050,D0006,2024-02-19 10:41:56.521613,2024-02-20 07:11:56.521613,20.5,262,Merged,1
PR000098,P001,S0005,D0006,D0030,2024-02-13 11:31:46.315244,2024-02-13 16:37:46.315244,5.1,165,Merged,1
PR000099,P001,S0005,D0006,D0019,2024-02-11 01:15:32.007905,2024-02-11 16:57:32.007905,15.7,86,Merged,1
PR000100,P001,S0005,D0030,D0004,2024-02-19 19:57:14.769667,2024-02-21 00:03:14.769667,28.1,183,Merged,1
PR000101,P001,S0005,D0042,D0004,2024-02-13 20:55:15.086875,2024-02-14 12:01:15.086875,15.1,71,Merged,1
PR000102,P001,S0005,D0026,D0006,2024-02-20 05:33:08.525440,2024-02-20 16:27:08.525440,10.9,50,Merged,1
PR000103,P001,S0006,D0030,D0004,2024-03-01 07:44:22.238684,2024-03-02 08:08:22.238684,24.4,41,Merged,1
PR000104,P001,S0006,D0004,D0030,2024-03-06 14:30:34.999355,2024-03-06 17:00:34.999355,2.5,38,Closed,0
PR000105,P001,S0006,D0042,D0050,2024-03-05 07:50:22.677492,2024-03-05 18:14:22.677492,10.4,52,Merged,1
PR000106,P001,S0006,D0042,D0019,2024-03-04 05:05:10.088733,2024-03-04 13:17:10.088733,8.2,77,Merged,1
PR000107,P001,S0006,D0050,D0006,2024-02-28 07:55:09.947372,2024-02-28 22:37:09.947372,14.7,145,Closed,0
PR000108,P001,S0006,D0006,D0004,2024-03-03 22:01:40.526156,,,145,Open,0
PR000109,P001,S0006,D0019,D0050,2024-03-06 17:41:40.808236,,,85,Open,0
PR000110,P001,S0006,D0042,D0006,2024-03-04 10:00:49.641395,2024-03-05 10:36:49.641395,24.6,113,Merged,1
PR000111,P001,S0006,D0042,D0050,2024-02-25 04:41:05.605771,2024-02-26 03:53:05.605771,23.2,223,Merged,1
PR000112,P001,S0006,D0030,D0026,2024-02-26 16:37:56.809912,,,79,Open,0
PR000113,P001,S0006,D0004,D0019,2024-02-26 02:31:42.063859,2024-02-26 16:55:42.063859,,108,Merged,1
PR000114,P001,S0006,D0050,D0042,2024-02-25 04:43:11.626734,2024-02-25 13:55:11.626734,9.2,104,Merged,1
PR000115,P001,S0007,D0004,D0042,2024-03-12 18:44:50.483183,2024-03-12 22:14:50.483183,3.5,169,Closed,0
PR000116,P001,S0007,D0050,D0026,2024-03-14 05:09:13.499297,2024-03-14 16:21:13.499297,11.2,35,Merged,1
PR000117,P001,S0007,D0026,D0030,2024-03-13 04:41:05.490928,2024-03-13 12:11:05.490928,7.5,129,Merged,1
PR000118,P001,S0007,D0042,D0050,2024-03-17 23:35:44.711118,2024-03-18 17:59:44.711118,18.4,83,Merged,1
PR000119,P001,S0007,D0026,D0006,2024-03-18 10:02:23.459793,2024-03-18 18:56:23.459793,8.9,87,Closed,0
PR000120,P001,S0007,D0006,D0050,2024-03-14 10:38:04.198342,2024-03-15 00:56:04.198342,14.3,58,Closed,0
PR000121,P001,S0007,D0042,D0050,2024-03-11 08:36:57.771359,2024-03-11 15:00:57.771359,6.4,205,Merged,1
PR000122,P001,S0007,D0006,D0026,2024-03-18 10:07:56.139021,2024-03-18 21:19:56.139021,11.2,44,Merged,1
PR000123,P001,S0007,D0004,D0006,2024-03-18 14:58:42.678439,2024-03-19 09:34:42.678439,18.6,105,Merged,1
PR000124,P001,S0007,D0030,D0026,2024-03-12 00:44:54.436757,,,117,Open,0
PR000125,P001,S0007,D0050,D0006,2024-03-10 11:39:34.373796,2024-03-10 14:51:34.373796,3.2,29,Merged,1
PR000126,P001,S0007,D0042,D0004,2024-03-17 08:22:38.072443,2024-03-18 11:10:38.072443,26.8,171,Merged,1
PR000127,P001,S0007,D0030,D0026,2024-03-12 19:31:11.692196,2024-03-13 09:19:11.692196,13.8,129,Closed,0
PR000128,P001,S0007,D0042,D0004,2024-03-10 18:02:34.935643,2024-03-10 20:26:34.935643,2.4,168,Merged,1
PR000129,P001,S0007,D0026,D0030,2024-03-18 21:04:06.618367,,,85,Open,0
PR000130,P001,S0007,D0042,D0004,2024-03-16 04:18:05.801926,2024-03-16 13:54:05.801926,9.6,71,Merged,1
PR000131,P001,S0007,D0026,D0004,2024-03-13 23:09:06.875135,2024-03-14 17:51:06.875135,18.7,77,Merged,1
PR000132,P001,S0007,D0026,D0042,2024-03-14 22:09:19.393183,2024-03-15 22:27:19.393183,24.3,129,Merged,1
PR000133,P001,S0007,D0026,D0004,2024-03-10 19:48:28.457816,2024-03-11 03:48:28.457816,8.0,17,Merged,1
PR000134,P001,S0007,D0050,D0026,2024-03-20 00:14:50.595152,2024-03-20 18:38:50.595152,18.4,107,Merged,1
PR000135,P001,S0007,D0026,D0006,2024-03-10 20:07:07.653287,2024-03-11 08:13:07.653287,12.1,92,Merged,1
PR000136,P001,S0007,D0042,D0004,2024-03-10 05:33:03.218184,2024-03-10 17:15:03.218184,11.7,175,Closed,0
PR000137,P001,S0007,D0042,D0026,2024-03-10 08:53:00.932324,2024-03-10 18:11:00.932324,9.3,93,Merged,1
PR000138,P001,S0007,D0050,D0030,2024-03-18 14:05:42.005371,2024-03-19 13:29:42.005371,23.4,87,Merged,1
PR000139,P001,S0007,D0019,D0030,2024-03-14 08:11:58.720977,2024-03-14 11:53:58.720977,3.7,7,Merged,1
PR000140,P001,S0007,D0006,D0026,2024-03-16 09:21:03.292423,,,112,Open,0
PR000141,P001,S0007,D0042,D0019,2024-03-20 00:08:49.777523,2024-03-20 18:20:49.777523,18.2,134,Merged,1
PR000142,P001,S0007,D0019,D0050,2024-03-12 05:40:15.372596,2024-03-12 13:22:15.372596,7.7,40,Closed,0
PR000143,P001,S0008,D0006,D0026,2024-04-04 00:37:50.345002,2024-04-04 14:07:50.345002,13.5,127,Merged,1
PR000144,P001,S0008,D0026,D0030,2024-03-26 04:02:49.867809,2024-03-26 11:44:49.867809,7.7,70,Merged,1
PR000145,P001,S0008,D0026,D0004,2024-04-04 03:52:32.531426,2024-04-04 16:58:32.531426,13.1,38,Closed,0
PR000146,P001,S0008,D0030,D0004,2024-03-24 05:58:35.928059,,,7,Open,0
PR000147,P001,S0008,D0042,D0050,2024-03-31 16:03:34.533018,,,125,Open,0
PR000148,P001,S0008,D0050,D0026,2024-03-26 19:12:06.955142,2024-03-27 02:18:06.955142,7.1,64,Merged,1
PR000149,P001,S0008,D0019,D0042,2024-03-27 07:42:29.265548,2024-03-27 10:06:29.265548,2.4,42,Merged,1
PR000150,P001,S0008,D0050,D0042,2024-03-30 15:29:32.577256,2024-03-31 00:05:32.577256,8.6,19,Merged,1
PR000151,P001,S0008,D0006,D0042,2024-03-25 16:19:47.359854,2024-03-26 14:01:47.359854,21.7,72,Merged,1
PR000152,P001,S0008,D0050,D0006,2024-03-28 03:17:35.196101,2024-03-29 22:23:35.196101,43.1,72,Merged,1
PR000153,P001,S0008,D0004,D0019,2024-03-27 20:36:18.690889,2024-03-28 18:00:18.690889,21.4,95,Merged,1
PR000154,P001,S0008,D0019,D0026,2024-03-31 11:48:07.145561,2024-04-01 13:48:07.145561,26.0,197,Merged,1
PR000155,P001,S0008,D0030,D0026,2024-03-28 12:46:51.187743,2024-03-28 16:22:51.187743,3.6,132,Merged,1
PR000156,P001,S0008,D0004,D0026,2024-03-31 23:30:42.722797,2024-04-01 13:42:42.722797,14.2,15,Merged,1
PR000157,P001,S0008,D0004,D0026,2024-03-25 08:17:59.211538,2024-03-26 00:53:59.211538,16.6,238,Merged,1
PR000158,P001,S0008,D0042,D0004,2024-03-27 20:22:44.202005,2024-03-28 02:28:44.202005,6.1,40,Merged,1
PR000159,P001,S0008,D0026,D0004,2024-03-31 10:11:08.960542,2024-04-01 02:41:08.960542,16.5,165,Merged,1
PR000160,P001,S0008,D0026,D0019,2024-03-24 23:45:06.153572,2024-03-25 07:09:06.153572,7.4,194,Merged,1
PR000161,P001,S0008,D0050,D0042,2024-03-28 09:35:04.656791,2024-03-29 03:35:04.656791,18.0,16,Merged,1
PR000162,P001,S0008,D0019,D0006,2024-03-30 19:49:22.528004,2024-03-31 12:07:22.528004,16.3,76,Merged,1
PR000163,P001,S0008,D0050,D0042,2024-03-28 18:49:00.587879,2024-03-29 00:55:00.587879,6.1,7,Merged,1
PR000164,P001,S0008,D0042,D0026,2024-03-28 21:43:37.077011,2024-03-29 05:01:37.077011,7.3,109,Closed,0
PR000165,P001,S0009,D0042,D0006,2024-04-10 07:18:34.872594,2024-04-11 00:54:34.872594,17.6,71,Merged,1
PR000166,P001,S0009,D0042,D0050,2024-04-10 15:12:37.735877,2024-04-10 22:06:37.735877,6.9,110,Merged,1
PR000167,P001,S0009,D0006,D0004,2024-04-07 20:12:06.097670,2024-04-09 03:54:06.097670,31.7,147,Merged,1
PR000168,P001,S0009,D0004,D0026,2024-04-07 06:48:38.648846,2024-04-07 23:00:38.648846,16.2,109,Merged,1
PR000169,P001,S0009,D0026,D0004,2024-04-12 18:27:15.940459,2024-04-13 02:21:15.940459,7.9,12,Merged,1
PR000170,P001,S0009,D0026,D0042,2024-04-14 13:57:40.872855,2024-04-15 11:33:40.872855,21.6,206,Closed,0
PR000171,P001,S0009,D0042,D0026,2024-04-18 16:07:25.683746,2024-04-19 04:13:25.683746,12.1,20,Merged,1
PR000172,P001,S0009,D0004,D0019,2024-04-10 02:42:14.860094,2024-04-10 07:12:14.860094,4.5,32,Merged,1
PR000173,P001,S0009,D0026,D0019,2024-04-10 13:12:41.442090,2024-04-10 17:42:41.442090,4.5,336,Merged,1
PR000174,P001,S0009,D0030,D0050,2024-04-14 01:15:13.355094,2024-04-15 01:21:13.355094,24.1,136,Merged,1
PR000175,P001,S0009,D0004,D0019,2024-04-09 06:34:31.942130,2024-04-09 09:16:31.942130,2.7,50,Merged,1
PR000176,P001,S0009,D0026,D0042,2024-04-13 19:46:28.354501,2024-04-14 19:40:28.354501,23.9,263,Merged,1
PR000177,P001,S0009,D0042,D0050,2024-04-15 07:13:39.904031,2024-04-15 18:49:39.904031,11.6,169,Merged,1
PR000178,P001,S0009,D0042,D0006,2024-04-09 15:55:21.419563,2024-04-10 12:25:21.419563,20.5,64,Merged,1
PR000179,P001,S0009,D0030,D0026,2024-04-08 23:58:49.293751,,,57,Open,0
PR000180,P001,S0009,D0026,D0004,2024-04-12 22:01:46.101697,2024-04-13 02:55:46.101697,4.9,79,Merged,1
PR000181,P001,S0009,D0050,D0004,2024-04-13 15:02:58.415148,,,176,Open,0
PR000182,P001,S0009,D0019,D0006,2024-04-13 03:26:11.327898,2024-04-13 07:14:11.327898,3.8,214,Merged,1
PR000183,P001,S0009,D0006,D0030,2024-04-16 03:01:22.212961,2024-04-16 03:31:22.212961,0.5,84,Merged,1
PR000184,P001,S0009,D0042,D0004,2024-04-12 16:48:45.609155,2024-04-13 03:42:45.609155,10.9,142,Merged,1
PR000185,P001,S0009,D0030,D0004,2024-04-12 07:47:41.922225,2024-04-13 12:29:41.922225,28.7,22,Closed,0
PR000186,P001,S0009,D0006,D0026,2024-04-15 04:26:26.925169,2024-04-15 14:02:26.925169,9.6,73,Merged,1
PR000187,P001,S0009,D0042,D0006,2024-04-16 07:15:34.386755,2024-04-16 19:15:34.386755,12.0,42,Merged,1
PR000188,P001,S0009,D0019,D0042,2024-04-07 07:27:18.788326,2024-04-07 22:03:18.788326,14.6,134,Closed,0
PR000189,P001,S0009,D0042,D0019,2024-04-07 20:45:43.135638,2024-04-08 16:51:43.135638,20.1,106,Merged,1
PR000190,P001,S0010,D0019,D0004,2024-04-27 21:19:46.745408,2024-04-28 13:25:46.745408,16.1,87,Merged,1
PR000191,P001,S0010,D0004,D0042,2024-04-25 03:34:47.729547,2024-04-25 23:40:47.729547,20.1,44,Merged,1
PR000192,P001,S0010,D0004,D0050,2024-04-25 02:49:26.976740,2024-04-25 21:19:26.976740,18.5,140,Merged,1
PR000193,P001,S0010,D0050,D0006,2024-04-29 15:40:05.471041,2024-04-29 19:04:05.471041,3.4,29,Merged,1
PR000194,P001,S0010,D0019,D0042,2024-04-28 16:35:50.929833,2024-04-29 10:59:50.929833,18.4,172,Merged,1
PR000195,P001,S0010,D0030,D0026,2024-04-30 17:44:05.939051,2024-05-01 08:08:05.939051,14.4,155,Merged,1
PR000196,P001,S0010,D0026,D0050,2024-04-29 20:07:51.888320,2024-04-30 09:49:51.888320,13.7,166,Merged,1
PR000197,P001,S0010,D0030,D0026,2024-05-02 23:03:06.327199,2024-05-04 17:21:06.327199,42.3,583,Merged,1
PR000198,P001,S0010,D0019,D0026,2024-04-24 17:19:54.984695,2024-04-25 18:49:54.984695,25.5,182,Merged,1
PR000199,P001,S0010,D0019,D0026,2024-04-21 22:04:23.744488,2024-04-23 02:40:23.744488,28.6,67,Closed,0
PR000200,P001,S0010,D0019,D0026,2024-04-30 06:33:25.297127,2024-04-30 14:03:25.297127,7.5,61,Merged,1
PR000201,P001,S0010,D0042,D0030,2024-04-29 08:46:46.672569,,,97,Open,0
PR000202,P001,S0010,D0030,D0050,2024-04-24 09:05:48.821114,2024-04-24 13:23:48.821114,4.3,58,Merged,1
PR000203,P002,S0011,D0057,D0015,2024-01-05 10:34:08.650371,2024-01-05 19:28:08.650371,8.9,209,Merged,1
PR000204,P002,S0011,D0015,D0057,2023-12-29 07:02:06.816574,2023-12-30 06:32:06.816574,23.5,137,Merged,1
PR000205,P002,S0011,D0054,D0037,2023-12-31 21:51:05.754851,2024-01-02 05:09:05.754851,31.3,242,Merged,1
PR000206,P002,S0011,D0059,D0013,2023-12-27 04:15:01.515214,2023-12-27 17:51:01.515214,13.6,76,Closed,0
PR000207,P002,S0011,D0015,D0047,2023-12-31 01:09:09.583453,2023-12-31 06:03:09.583453,4.9,36,Merged,1
PR000208,P002,S0011,D0057,D0013,2023-12-27 12:16:05.641756,2023-12-28 16:16:05.641756,28.0,77,Merged,1
PR000209,P002,S0011,D0054,D0037,2023-12-28 23:20:24.731353,,,355,Open,0
PR000210,P002,S0011,D0059,D0054,2023-12-26 12:54:08.671019,2023-12-27 01:12:08.671019,12.3,212,Merged,1
PR000211,P002,S0011,D0013,D0059,2024-01-03 03:08:51.889798,2024-01-03 04:56:51.889798,1.8,183,Merged,1
PR000212,P002,S0011,D0024,D0059,2023-12-30 22:13:26.770743,2023-12-31 11:49:26.770743,,103,Merged,1
PR000213,P002,S0011,D0057,D0047,2023-12-26 21:21:56.833330,2023-12-27 02:39:56.833330,5.3,174,Closed,0
PR000214,P002,S0011,D0037,D0024,2024-01-02 20:57:18.878922,2024-01-03 10:03:18.878922,13.1,181,Closed,0
PR000215,P002,S0011,D0054,D0024,2024-01-03 19:54:17.438463,2024-01-04 15:00:17.438463,19.1,107,Closed,0
PR000216,P002,S0011,D0059,D0047,2023-12-26 13:19:59.674590,2023-12-27 04:25:59.674590,,56,Merged,1
PR000217,P002,S0011,D0013,D0054,2024-01-01 23:52:04.955995,2024-01-02 04:34:04.955995,4.7,52,Merged,1
PR000218,P002,S0011,D0054,D0024,2023-12-30 11:32:12.476882,,,87,Open,0
PR000219,P002,S0011,D0024,D0047,2024-01-02 01:02:21.072161,2024-01-02 01:50:21.072161,0.8,26,Merged,1
PR000220,P002,S0011,D0015,D0013,2023-12-31 13:10:38.614218,2024-01-01 16:40:38.614218,27.5,182,Merged,1
PR000221,P002,S0011,D0024,D0037,2024-01-05 13:28:03.095190,2024-01-05 19:52:03.095190,6.4,222,Closed,0
PR000222,P002,S0011,D0054,D0057,2024-01-04 08:38:00.267563,2024-01-05 05:56:00.267563,21.3,127,Merged,1
