sprint_id,project_id,team_id,sprint_number,sprint_start_date,sprint_end_date,planned_story_points,completed_story_points,sprint_completion_rate
S0058,P006,T004,8,2024-02-26,2024-03-10,69,69,1.0
S0059,P006,T004,9,2024-03-11,2024-03-24,32,32,1.0
S0060,P006,T004,10,2024-03-25,2024-04-07,50,49,0.98
S0061,P007,T004,1,2023-11-18,2023-12-01,55,50,0.9090909090909091
S0062,P007,T004,2,2023-12-02,2023-12-15,55,55,1.0
S0063,P007,T004,3,2023-12-16,2023-12-29,53,51,0.9622641509433962
S0064,P007,T004,4,2023-12-30,2024-01-12,54,54,1.0
S0065,P007,T004,5,2024-01-13,2024-01-26,41,39,0.9512195121951219
S0066,P007,T004,6,2024-01-27,2024-02-09,44,35,0.7954545454545454
S0067,P007,T004,7,2024-02-10,2024-02-23,53,39,0.7358490566037735
S0068,P007,T004,8,2024-02-24,2024-03-08,62,62,1.0
S0069,P007,T004,9,2024-03-09,2024-03-22,57,57,1.0
S0070,P007,T004,10,2024-03-23,2024-04-05,46,46,1.0
S0071,P008,T005,1,2023-12-28,2024-01-10,67,38,0.5671641791044776
S0072,P008,T005,2,2024-01-11,2024-01-24,62,34,0.5483870967741935
S0073,P008,T005,3,2024-01-25,2024-02-07,69,42,0.6086956521739131
S0074,P008,T005,4,2024-02-08,2024-02-21,45,20,0.4444444444444444
S0075,P008,T005,5,2024-02-22,2024-03-06,68,42,0.6176470588235294
S0076,P008,T005,6,2024-03-07,2024-03-20,48,29,0.6041666666666666
S0077,P008,T005,7,2024-03-21,2024-04-03,46,26,0.5652173913043478
S0078,P008,T005,8,2024-04-04,2024-04-17,64,37,0.578125
S0079,P008,T005,9,2024-04-18,2024-05-01,62,47,0.7580645161290323
S0080,P008,T005,10,2024-05-02,2024-05-15,67,41,0.6119402985074627
S0081,P009,T005,1,2023-12-29,2024-01-11,63,34,0.5396825396825397
S0082,P009,T005,2,2024-01-12,2024-01-25,35,13,0.37142857142857144
S0083,P009,T005,3,2024-01-26,2024-02-08,68,28,0.4117647058823529
S0084,P009,T005,4,2024-02-09,2024-02-22,56,36,0.6428571428571429
S0085,P009,T005,5,2024-02-23,2024-03-07,54,26,0.48148148148148145
S0086,P009,T005,6,2024-03-08,2024-03-21,56,30,0.5357142857142857
S0087,P009,T005,7,2024-03-22,2024-04-04,50,30,0.6
S0088,P009,T005,8,2024-04-05,2024-04-18,64,49,0.765625
S0089,P009,T005,9,2024-04-19,2024-05-02,52,36,0.6923076923076923
S0090,P009,T005,10,2024-05-03,2024-05-16,46,27,0.5869565217391305
S0091,P010,T008,1,2023-11-30,2023-12-13,35,35,1.0
S0092,P010,T008,2,2023-12-14,2023-12-27,38,38,1.0
S0093,P010,T008,3,2023-12-28,2024-01-10,35,26,0.7428571428571429
S0094,P010,T008,4,2024-01-11,2024-01-24,47,47,1.0
S0095,P010,T008,5,2024-01-25,2024-02-07,66,66,1.0
S0096,P010,T008,6,2024-02-08,2024-02-21,61,43,0.7049180327868853
S0097,P010,T008,7,2024-02-22,2024-03-06,45,45,1.0
S0098,P010,T008,8,2024-03-07,2024-03-20,67,67,1.0
S0099,P010,T008,9,2024-03-21,2024-04-03,35,34,0.9714285714285714
S0100,P010,T008,10,2024-04-04,2024-04-17,40,40,1.0
S0101,P011,T005,1,2023-11-24,2023-12-07,48,28,0.5833333333333334
S0102,P011,T005,2,2023-12-08,2023-12-21,43,27,0.627906976744186
S0103,P011,T005,3,2023-12-22,2024-01-04,55,31,0.5636363636363636
S0104,P011,T005,4,2024-01-05,2024-01-18,35,20,0.5714285714285714
S0105,P011,T005,5,2024-01-19,2024-02-01,35,15,0.42857142857142855
S0106,P011,T005,6,2024-02-02,2024-02-15,43,27,0.627906976744186
S0107,P011,T005,7,2024-02-16,2024-02-29,65,54,0.8307692307692308
S0108,P011,T005,8,2024-03-01,2024-03-14,36,19,0.5277777777777778
S0109,P011,T005,9,2024-03-15,2024-03-28,37,18,0.4864864864864865
S0110,P011,T005,10,2024-03-29,2024-04-11,33,17,0.5151515151515151
S0111,P012,T006,1,2023-11-19,2023-12-02,34,27,0.7941176470588235
S0112,P012,T006,2,2023-12-03,2023-12-16,44,42,0.9545454545454546
S0113,P012,T006,3,2023-12-17,2023-12-30,50,48,0.96
S0114,P012,T006,4,2023-12-31,2024-01-13,61,59,0.9672131147540983
S0115,P012,T006,5,2024-01-14,2024-01-27,55,55,1.0
S0116,P012,T006,6,2024-01-28,2024-02-10,59,53,0.8983050847457628
S0117,P012,T006,7,2024-02-11,2024-02-24,37,33,0.8918918918918919
S0118,P012,T006,8,2024-02-25,2024-03-09,49,40,0.8163265306122449
S0119,P012,T006,9,2024-03-10,2024-03-23,54,48,0.8888888888888888
S0120,P012,T006,10,2024-03-24,2024-04-06,59,42,0.711864406779661
